retention_priority,customers,revenue,customer_value,expected_revenue_at_risk,expected_profit_at_risk,avg_churn_probability,avg_retention_score,customer_percentage
Low,778,370579279,79482077.53999999,9721991.369421203,2030113.2982797862,4.5805332585336185,0.2818224067375796,80.45501551189244
High,151,7877036,1668347.4399999997,6755513.913985096,1440719.3968273513,95.32762781364394,0.8634678005637678,15.615305067218202
Medium,7,498952,107598.58999999995,287804.8954486321,62332.781372512676,60.23029020757489,0.6691380137148931,0.7238883143743536
Monitor,31,1041752,231976.34999999998,255624.46041036057,57220.71397824567,26.399269739721575,0.3993516936115552,3.205791106514995
