rfm_segment,customers,revenue,customer_value,expected_revenue_at_risk,expected_profit_at_risk,avg_churn_probability,avg_recency_days,avg_orders,customer_percentage
Hibernating,230,15427713,3413921.7399999998,4607185.525557902,1040941.7811425098,60.09297374225174,209.37826086956522,3.4217391304347826,23.784901758014477
High Value,107,68482208,14794345.069999998,3344816.8425327083,656509.7742302406,6.719735508329856,14.990654205607477,30.850467289719628,11.06514994829369
Needs Attention,123,22175394,4998503.069999999,2259838.8877574047,491108.75491294503,12.935278230526087,36.10569105691057,11.130081300813009,12.719751809720787
At Risk High Value,92,51961157,11261121.629999999,2176650.8652493767,448666.1675335822,4.80640910311626,50.43478260869565,27.869565217391305,9.513960703205791
Champions,188,181405169,38385614.41,1914913.0954073793,395293.49505373836,1.4865641327018797,4.409574468085107,48.170212765957444,19.441571871768357
Recent Customers,160,23937131,5089910.4799999995,1893343.2618601713,389711.5220947669,12.554982006351487,4.55,8.65,16.546018614270942
Potential Loyalists,46,10705624,2294882.76,612159.6583657606,124447.64485045451,5.6336108010080945,18.02173913043478,15.869565217391305,4.756980351602896
Loyal Customers,21,5902623,1251700.7599999998,212026.50253458868,43707.05063965846,3.6702035058390057,4.523809523809524,21.476190476190474,2.1716649431230612
